Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
2014.0,Round of 16,France,2.0,0.0,Nigeria, ,0.0,0.0,255951.0,FRA,NGA,7.0,1160.0,1160.0,0.0,43.0,656.0,656.0,1.0,1.7682926829268293,0.5655172413793104
2014.0,Round of 16,Germany,2.0,1.0,Algeria,Germany win after extra time ,0.0,0.0,255951.0,GER,ALG,1.0,1725.0,1725.0,0.0,18.0,948.0,948.0,0.0,1.8196202531645569,0.5495652173913044
2014.0,Round of 16,Argentina,1.0,0.0,Switzerland,Argentina win after extra time ,0.0,0.0,255951.0,ARG,SUI,2.0,1538.0,1538.0,0.0,12.0,1091.0,1091.0,0.0,1.4097158570119157,0.7093628088426528
2014.0,Round of 16,Belgium,2.0,1.0,USA,Belgium win after extra time ,0.0,0.0,255951.0,BEL,USA,4.0,1417.0,1417.0,0.0,27.0,836.0,836.0,1.0,1.694976076555024,0.5899788285109386
2014.0,Quarter-finals,France,0.0,1.0,Germany, ,0.0,1.0,255953.0,FRA,GER,7.0,1160.0,1160.0,0.0,1.0,1725.0,1725.0,0.0,0.672463768115942,1.4870689655172413
2014.0,Quarter-finals,Brazil,2.0,1.0,Colombia, ,1.0,0.0,255953.0,BRA,COL,6.0,1316.0,1316.0,0.0,3.0,1450.0,1450.0,0.0,0.9075862068965517,1.1018237082066868
2014.0,Quarter-finals,Argentina,1.0,0.0,Belgium, ,1.0,0.0,255953.0,ARG,BEL,2.0,1538.0,1538.0,0.0,4.0,1417.0,1417.0,0.0,1.0853916725476358,0.9213263979193758
2014.0,Quarter-finals,Netherlands,0.0,0.0,Costa Rica,Netherlands win on penalties (4 - 3) ,0.0,0.0,255953.0,NED,CRC,5.0,1374.0,1374.0,0.0,16.0,997.0,995.0,0.0,1.378134403209629,0.7256186317321689
2014.0,Semi-finals,Brazil,1.0,7.0,Germany, ,0.0,5.0,255955.0,BRA,GER,6.0,1316.0,1316.0,0.0,1.0,1725.0,1725.0,0.0,0.7628985507246376,1.310790273556231
2014.0,Semi-finals,Netherlands,0.0,0.0,Argentina,Argentina win on penalties (2 - 4) ,0.0,0.0,255955.0,NED,ARG,5.0,1374.0,1374.0,0.0,2.0,1538.0,1538.0,0.0,0.893368010403121,1.1193595342066958
2014.0,Play-off for third place,Brazil,0.0,3.0,Netherlands, ,0.0,2.0,255957.0,BRA,NED,6.0,1316.0,1316.0,0.0,5.0,1374.0,1374.0,0.0,0.9577874818049491,1.0440729483282676
2014.0,Final,Germany,1.0,0.0,Argentina,Germany win after extra time ,0.0,0.0,255959.0,GER,ARG,1.0,1725.0,1725.0,0.0,2.0,1538.0,1538.0,0.0,1.121586475942783,0.8915942028985507
